acX,acY,acZ,gyX,gyY,gyZ,Akselerasi,time
3.04,0.03,3.66,498.31,1.18,500.65,4.757951239766966,12:17:26
3.04,0.03,3.65,497.93,2.15,501.02,4.7502631506054485,12:17:27
3.05,0.03,3.65,498.31,-0.07,500.72,4.756669002568919,12:17:27
3.05,0.03,3.65,498.41,0.11,500.74,4.756669002568919,12:17:28
3.03,0.03,3.67,497.57,1.01,0.9,4.7592751548949135,12:17:28
3.12,0.09,3.51,484.66,15.29,9.94,4.69708420192783,12:17:29
3.09,0.12,3.68,3.07,462.39,501.0,4.806755662606536,12:17:29
3.15,0.23,0.51,3.51,387.98,7.32,3.199296797735402,12:17:30
3.24,0.15,0.77,3.36,4.62,484.74,3.3336166546260237,12:17:30
3.14,0.04,0.51,495.25,37.71,9.85,3.181399063305325,12:17:31
3.11,0.1,0.06,490.77,26.81,7.81,3.11218572710563,12:17:31
3.02,0.06,3.99,495.06,0.62,498.66,5.004408056903434,12:17:32
3.02,0.06,0.04,492.12,5.34,500.11,3.0208608044727914,12:17:32
2.98,0.05,3.92,496.85,1.23,1.46,4.924357826153579,12:17:33
3.05,0.04,3.7,498.32,1.26,502.3,4.795216366338437,12:17:33
3.05,0.09,3.74,497.95,2.17,503.92,4.826820899929891,12:17:34
3.06,0.12,3.73,498.35,-0.03,504.79,4.826064649380487,12:17:34
3.06,0.07,3.75,498.47,0.16,504.03,4.84055781909482,12:17:35
3.04,0.09,3.77,497.63,1.03,6.49,4.843820805934093,12:17:35
3.12,0.13,3.6,484.71,15.32,14.14,4.765637418016608,12:17:36
3.1,0.15,3.73,3.14,462.42,508.44,4.852360250434834,12:17:36
3.16,0.25,0.53,3.53,388.0,15.7,3.213876164384683,12:17:37
3.24,0.2,0.79,3.39,4.69,489.25,3.3409130488535617,12:17:37
3.14,0.08,0.59,495.27,37.75,19.04,3.1959505628216465,12:17:38
3.12,0.2,0.15,490.79,26.84,13.26,3.1300000000000003,12:17:38
3.03,0.12,4.09,495.11,0.71,504.54,5.09150272512939,12:17:39
3.03,0.08,0.11,492.22,5.41,508.52,3.033051268936943,12:17:39
2.99,0.08,4.01,496.9,1.28,3.14,5.002659292816172,12:17:40
