acX,acY,acZ,gyX,gyY,gyZ,Akselerasi,time
1.0,3.95,0.12,498.06,0.52,500.95,4.076383200828891,10:36:21
1.0,3.95,0.11,498.07,0.49,500.79,4.076101078236407,10:36:22
0.99,3.95,0.12,499.04,-0.09,498.55,4.073941580337155,10:36:22
0.99,3.98,0.14,498.64,1.76,500.93,4.103669089973021,10:36:23
1.0,3.96,0.13,498.16,-0.37,1.68,4.086379815925094,10:36:23
0.99,3.96,0.13,498.32,-0.05,500.75,4.083944171998437,10:36:24
0.99,3.96,0.13,497.79,0.1,1.14,4.083944171998437,10:36:24
0.99,3.96,0.13,498.0,0.18,501.04,4.083944171998437,10:36:25
0.99,3.96,0.12,498.45,0.36,0.82,4.083638083865905,10:36:25
0.99,3.96,0.11,498.24,0.6,500.94,4.083356462519529,10:36:26
1.0,3.95,0.12,498.07,0.31,0.82,4.076383200828891,10:36:26
0.99,3.96,0.12,498.22,0.93,500.62,4.083638083865905,10:36:27
1.0,3.96,0.12,497.95,0.49,0.92,4.086073910246852,10:36:27
0.99,3.96,0.11,497.83,0.25,0.84,4.083356462519529,10:36:28
0.99,3.96,0.11,498.03,0.68,0.85,4.083356462519529,10:36:28
0.99,3.96,0.12,498.05,0.36,0.81,4.083638083865905,10:36:29
0.99,3.95,0.11,497.99,0.43,501.0,4.073659288649457,10:36:29
0.99,3.95,0.12,498.25,0.8,500.7,4.073941580337155,10:36:30
1.0,3.95,0.11,498.47,0.48,0.79,4.076101078236407,10:36:30
1.0,3.96,0.12,498.12,0.06,500.91,4.086073910246852,10:36:31
1.0,3.96,0.12,498.2,0.24,500.86,4.086073910246852,10:36:31
0.99,3.96,0.11,498.08,0.57,0.99,4.083356462519529,10:36:32
0.99,3.96,0.11,498.09,0.26,500.88,4.083356462519529,10:36:32
1.0,3.95,0.11,498.06,0.43,0.87,4.076101078236407,10:36:33
1.01,3.94,0.13,9.48,12.64,11.47,4.069471710185488,10:36:33
0.97,3.92,0.05,487.02,8.58,5.53,4.038539339909914,10:36:34
0.96,0.09,0.54,469.47,16.79,3.84,1.1051244273836318,10:36:34
0.68,0.1,0.71,498.5,475.65,11.13,0.9881801455200363,10:36:35
0.76,3.91,0.54,487.35,473.1,7.64,4.019614409368143,10:36:35
0.91,3.95,0.43,14.41,4.6,8.39,4.0762114763589,10:36:36
0.92,3.95,0.42,495.99,498.21,500.96,4.077413395769431,10:36:36
