acX,acY,acZ,gyX,gyY,gyZ,Akselerasi,time
0.76,0.06,0.6,495.21,0.29,493.45,0.9701546268507923,13:05:38
0.78,0.13,0.6,490.45,489.08,481.71,0.992622788374315,13:05:39
0.87,0.25,0.51,6.83,0.69,8.18,1.0389898940798221,13:05:39
0.94,0.12,0.34,2.34,471.18,6.19,1.0067770358922574,13:05:40
1.03,0.12,0.12,485.23,473.95,1.32,1.0438869670610893,13:05:40
0.88,0.24,0.04,496.35,2.38,3.8,0.9130169768410662,13:05:41
1.04,0.14,0.06,2.34,-1.92,12.09,1.051094667477673,13:05:41
1.0,0.01,3.95,494.85,494.07,8.17,4.074628817450739,13:05:42
1.0,4.0,3.94,3.93,1.18,500.43,5.70294660679898,13:05:42
1.01,0.02,3.96,491.03,2.35,497.64,4.086820279875297,13:05:43
1.0,0.08,3.93,500.43,-0.85,497.45,4.05602021691214,13:05:43
1.0,0.06,3.91,0.97,0.96,1.24,4.036297808636028,13:05:44
1.01,0.06,3.95,498.57,0.4,1.92,4.0775237583611945,13:05:44
0.77,0.06,0.67,495.3,0.32,498.87,1.0224480426897007,13:05:45
0.78,0.13,0.65,490.51,489.18,486.06,1.0236210236215355,13:05:45
0.87,0.26,0.6,6.84,0.77,16.71,1.0883473710171767,13:05:46
0.94,0.12,0.42,2.38,471.21,14.93,1.036532681587995,13:05:46
1.03,0.12,0.15,485.33,473.97,4.59,1.0477595143924965,13:05:47
0.88,0.24,0.07,496.43,2.46,7.62,0.9148223871331528,13:05:47
1.04,0.15,0.12,2.36,-1.87,21.97,1.0575916035975323,13:05:48
1.01,0.02,3.96,494.92,494.13,16.71,4.086820279875297,13:05:48
1.01,4.01,3.95,3.99,1.2,502.5,5.718627457703465,13:05:49
1.02,0.02,4.03,491.11,2.44,499.06,4.157126411356768,13:05:49
1.0,0.09,3.98,500.45,-0.78,501.49,4.1046924367119155,13:05:50
1.0,0.07,3.96,1.03,1.03,10.34,4.084911259746042,13:05:50
1.02,0.06,3.97,498.65,0.42,6.13,4.099378001599755,13:05:51
0.78,0.07,0.75,495.4,0.34,505.38,1.0843431191278894,13:05:51
0.79,0.14,0.73,490.58,489.26,491.15,1.0847119433287347,13:05:52
0.88,0.27,0.63,6.87,0.8,25.05,1.115437134042076,13:05:52
0.95,0.13,0.44,2.45,471.27,24.59,1.0549881515922348,13:05:53
1.04,0.13,0.24,485.39,474.04,6.06,1.0752209075348191,13:05:53
0.89,0.24,0.14,496.49,2.53,17.41,0.9323625904121207,13:05:54
1.05,0.15,0.21,2.44,-1.83,25.36,1.081249277456406,13:05:54
1.01,0.02,4.05,494.98,494.15,23.38,4.174086726458855,13:05:55
1.01,4.01,4.02,4.02,1.29,503.77,5.767200360660274,13:05:55
1.03,0.02,4.08,491.16,2.46,501.82,4.208051805764753,13:05:56
