# min,max,mean,stdev,median,variance,label
-0.184,-0.002,-0.048,0.07,-0.007,0.005,1
-2.158,1.474,-0.375,1.215,-0.073,1.477,1
-8.772,0.953,-2.441,3.306,-1.306,10.931,1
-0.983,0.04,-0.192,0.396,-0.002,0.157,1
-0.102,0.149,0.004,0.089,-0.017,0.008,1
-0.102,0.149,0.004,0.089,-0.017,0.008,1
-0.115,0.002,-0.032,0.044,-0.01,0.002,1
-5.25,2.661,-0.641,2.572,0.004,6.613,1
-0.284,0.135,-0.015,0.145,0.003,0.021,1
-4.257,0.001,-0.859,1.699,-0.008,2.886,1
-0.971,0.01,-0.189,0.391,0.007,0.153,1
-0.638,0.069,-0.127,0.259,-0.012,0.067,1
-0.638,0.069,-0.127,0.259,-0.012,0.067,1
-2.373,-0.183,-1.155,0.734,-1.209,0.539,1
-5.591,1.439,-1.905,2.391,-1.056,5.718,2
-1.66,1.258,0.351,1.039,0.752,1.079,2
-2.658,1.272,-0.525,1.365,-0.087,1.863,2
-0.358,1.131,0.193,0.502,0,0.252,2
-0.152,0.138,0.008,0.096,0.008,0.009,2
-0.152,0.138,0.008,0.096,0.008,0.009,2
-0.068,2.262,0.441,0.911,0.011,0.83,2
-0.868,4.809,1.921,1.862,2.023,3.468,2
-1.32,0.026,-0.362,0.497,-0.115,0.247,2
-2.771,3.644,0.443,2.086,0.006,4.351,2
-2.644,0.065,-0.668,1.014,-0.195,1.028,2
-0.026,0.853,0.234,0.326,0.09,0.106,2
-0.01,0.225,0.092,0.108,0.022,0.012,2
-0.064,0.133,0.024,0.064,0.015,0.004,2
-4.118,0.06,-1.272,1.682,-0.005,2.828,3
-0.049,0.352,0.065,0.145,0.004,0.021,3
-2.473,1.643,-0.299,1.318,-0.109,1.738,3
-0.983,0.04,-0.192,0.396,-0.002,0.157,3
-0.205,-0.001,-0.051,0.078,-0.013,0.006,3
-0.205,-0.001,-0.051,0.078,-0.013,0.006,3
-2.135,44.979,12.42,17.275,3.612,298.409,3
-3.458,4.898,0.864,2.791,0.264,7.79,3
-0.676,34.989,9.637,13.333,2.565,177.756,3
-1.778,0.045,-0.346,0.716,0.001,0.513,3
-0.044,0.395,0.065,0.166,-0.009,0.028,3
-0.056,0.393,0.119,0.154,0.095,0.024,3
-5.814,1.397,-1.054,2.493,0,6.214,3
-5.814,1.397,-1.054,2.493,0,6.214,3
