# min,max,mean,stdev,median,variance,label
-0.184,-0.002,-0.048,0.07,-0.007,0.005,1
-2.158,1.474,-0.375,1.215,-0.073,1.477,1
-8.772,0.953,-2.441,3.306,-1.306,10.931,1
-0.983,0.04,-0.192,0.396,-0.002,0.157,1
-0.102,0.149,0.004,0.089,-0.017,0.008,1
-0.102,0.149,0.004,0.089,-0.017,0.008,1
-0.115,0.002,-0.032,0.044,-0.01,0.002,1
-5.25,2.661,-0.641,2.572,0.004,6.613,1
-0.284,0.135,-0.015,0.145,0.003,0.021,1
-4.257,0.001,-0.859,1.699,-0.008,2.886,1
-0.971,0.01,-0.189,0.391,0.007,0.153,1
-0.638,0.069,-0.127,0.259,-0.012,0.067,1
-0.638,0.069,-0.127,0.259,-0.012,0.067,1
-2.373,-0.183,-1.155,0.734,-1.209,0.539,1
