# min,max,mean,stdev,median,variance,label
-5.591,1.439,-1.905,2.391,-1.056,5.718,2
-1.66,1.258,0.351,1.039,0.752,1.079,2
-2.658,1.272,-0.525,1.365,-0.087,1.863,2
-0.358,1.131,0.193,0.502,0,0.252,2
-0.152,0.138,0.008,0.096,0.008,0.009,2
-0.152,0.138,0.008,0.096,0.008,0.009,2
-0.068,2.262,0.441,0.911,0.011,0.83,2
-0.868,4.809,1.921,1.862,2.023,3.468,2
-1.32,0.026,-0.362,0.497,-0.115,0.247,2
-2.771,3.644,0.443,2.086,0.006,4.351,2
-2.644,0.065,-0.668,1.014,-0.195,1.028,2
-0.026,0.853,0.234,0.326,0.09,0.106,2
-0.01,0.225,0.092,0.108,0.022,0.012,2
-0.064,0.133,0.024,0.064,0.015,0.004,2
