# min,max,mean,stdev,median,variance,label
-4.118,0.06,-1.272,1.682,-0.005,2.828,3
-0.049,0.352,0.065,0.145,0.004,0.021,3
-2.473,1.643,-0.299,1.318,-0.109,1.738,3
-0.983,0.04,-0.192,0.396,-0.002,0.157,3
-0.205,-0.001,-0.051,0.078,-0.013,0.006,3
-0.205,-0.001,-0.051,0.078,-0.013,0.006,3
-2.135,44.979,12.42,17.275,3.612,298.409,3
-3.458,4.898,0.864,2.791,0.264,7.79,3
-0.676,34.989,9.637,13.333,2.565,177.756,3
-1.778,0.045,-0.346,0.716,0.001,0.513,3
-0.044,0.395,0.065,0.166,-0.009,0.028,3
-0.056,0.393,0.119,0.154,0.095,0.024,3
-5.814,1.397,-1.054,2.493,-0.0,6.214,3
-5.814,1.397,-1.054,2.493,-0.0,6.214,3
