# min,max,mean,stdev,median,variance,label
-1.559,-0.021,-0.495,0.564,-0.249,0.318,1
-0.069,3.467,1.025,1.292,0.792,1.668,1
-0.65,3.257,1.032,1.408,0.677,1.983,1
-1.62,-0.018,-0.514,0.585,-0.281,0.342,1
0.092,3.36,1.638,1.381,1.217,1.908,1
0.092,3.36,1.638,1.381,1.217,1.908,1
-8.817,-0.157,-2.824,3.179,-1.377,10.107,1
0.03,3.204,1.303,1.233,1.049,1.519,1
0.075,13.204,4.054,4.921,1.477,24.22,1
-1.776,0.356,-0.253,0.772,0.036,0.595,1
0.022,2.173,0.65,0.801,0.247,0.641,1
0.081,4.521,2.026,1.706,1.824,2.911,1
0.081,4.521,2.026,1.706,1.824,2.911,1
0.098,9.709,2.711,3.586,0.989,12.856,1
