# min,max,mean,stdev,median,variance,label
-0.783,7.276,2.341,3.032,0.524,9.19,2
-2.738,0.352,-0.629,1.089,-0.204,1.186,2
0.206,5.171,1.476,1.891,0.48,3.574,2
-0.746,-0.015,-0.357,0.306,-0.248,0.093,2
0.09,9.718,2.94,3.585,1.146,12.852,2
0.09,9.718,2.94,3.585,1.146,12.852,2
-7.272,-0.172,-2.57,2.595,-1.459,6.734,2
-8.735,-0.062,-2.782,3.172,-1.574,10.063,2
0.039,10.659,3.204,3.979,1.128,15.832,2
0.162,22.67,7.956,8.662,3.377,75.038,2
0.028,10.301,3.151,3.835,1.179,14.709,2
0.091,13.1,3.934,4.866,1.439,23.681,2
0.073,13.915,4.194,5.175,1.566,26.783,2
0.072,13.919,4.197,5.17,1.608,26.732,2
