# min,max,mean,stdev,median,variance,label
-2.475,0.071,-0.689,0.985,0.002,0.971,3
0.108,12.793,3.895,4.744,1.412,22.506,3
-0.072,2.769,0.856,1.04,0.604,1.081,3
-3.119,-0.032,-0.973,1.136,-0.467,1.291,3
0.09,9.626,2.92,3.553,1.126,12.62,3
0.09,9.626,2.92,3.553,1.126,12.62,3
-14.716,0.09,-5.057,5.396,-3.289,29.122,3
-1.311,-0.028,-0.477,0.506,-0.165,0.257,3
0.377,9.319,2.898,3.364,1.26,11.317,3
-0.734,0.238,-0.087,0.335,0.004,0.112,3
0.112,17.645,5.261,6.555,1.889,42.97,3
0.062,8.851,2.801,3.284,1.181,10.782,3
0.074,7.448,2.761,2.749,1.794,7.556,3
0.074,7.448,2.761,2.749,1.794,7.556,3
